Customer ID,Customer Name,Date of Birth,Marital Status,Date of First Purchase,Gender,Yearly Income,
RH-19495,Rick Hansen,03-09-1983,M,1482969600,M,90000,"Insert into Customer values('RH-19495','Rick Hansen',30562,'M',1482969600,'M',90000)"
JR-16210,Justin Ritter,25-09-1961,S,1544140800,M,60000,"Insert into Customer values('JR-16210','Justin Ritter',22549,'S',1544140800,'M',60000)"
CR-12730,Craig Reiter,23-11-1998,M,1429228800,M,60000,"Insert into Customer values('CR-12730','Craig Reiter',36122,'M',1429228800,'M',60000)"
KM-16375,Katherine Murray,04-08-1987,S,1439683200,F,70000,"Insert into Customer values('KM-16375','Katherine Murray',31993,'S',1439683200,'F',70000)"
RH-9495,Rick Hansen,30-10-1979,S,1550880000,F,80000,"Insert into Customer values('RH-9495','Rick Hansen',29158,'S',1550880000,'F',80000)"
JM-15655,Jim Mitchum,23-01-1972,S,1556755200,M,70000,"Insert into Customer values('JM-15655','Jim Mitchum',26321,'S',1556755200,'M',70000)"
TS-21340,Toby Swindell,05-10-1964,S,1462579200,F,70000,"Insert into Customer values('TS-21340','Toby Swindell',23655,'S',1462579200,'F',70000)"
MB-18085,Mick Brown,27-01-1996,M,1522195200,M,60000,"Insert into Customer values('MB-18085','Mick Brown',35091,'M',1522195200,'M',60000)"
JW-15220,Jane Waco,27-09-2004,S,1428883200,F,60000,"Insert into Customer values('JW-15220','Jane Waco',38257,'S',1428883200,'F',60000)"
JH-15985,Joseph Holt,16-08-1950,S,1427500800,M,70000,"Insert into Customer values('JH-15985','Joseph Holt',18491,'S',1427500800,'M',70000)"
GM-14695,Greg Maxwell,29-11-1956,S,1456531200,F,70000,"Insert into Customer values('GM-14695','Greg Maxwell',20788,'S',1456531200,'F',70000)"
AJ-10780,Anthony Jacobs,13-01-1999,M,1439596800,M,60000,"Insert into Customer values('AJ-10780','Anthony Jacobs',36173,'M',1439596800,'M',60000)"
MM-7260,Magdelene Morse,15-08-1966,M,1495670400,F,100000,"Insert into Customer values('MM-7260','Magdelene Morse',24334,'M',1495670400,'F',100000)"
VF-21715,Vicky Freymann,06-12-1988,M,1462060800,M,100000,"Insert into Customer values('VF-21715','Vicky Freymann',32483,'M',1462060800,'M',100000)"
PF-19120,Peter Fuller,05-04-1974,S,1451865600,F,100000,"Insert into Customer values('PF-19120','Peter Fuller',27124,'S',1451865600,'F',100000)"
BP-11185,Ben Peterman,22-04-1951,S,1562544000,F,30000,"Insert into Customer values('BP-11185','Ben Peterman',18740,'S',1562544000,'F',30000)"
